case	op	operand	verts	tris	clean	introduced	nonmanifold_edges	nonmanifold_verts	boundary_edges	misoriented_pairs	improper_pairs	unresolved_pairs	duplicate_tris	index_degenerate	collinear_degenerate	vertex_twins	unreferenced_verts
F0066	097_union	a	149	294	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0066	097_union	b	24	44	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0066	098_union	a	156	308	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0066	098_union	b	42	80	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0067	099_union	a	21	38	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0067	099_union	b	23	42	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0067	100_union	a	1537	3070	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0067	100_union	b	1254	2504	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0067	101_union	a	836	1668	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0067	101_union	b	830	1656	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0067	102_union	a	610	1216	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0067	102_union	b	91	178	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0067	103_union	a	91	178	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0067	103_union	b	76	148	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
